publishedAt,authorDisplayName,textDisplay,likeCount
2024-08-26T09:42:35Z,@khadijadija9264,"ini mengalaman Abang aku, sama sepupu2 aku yang lain, jadi mereka ini 1 sekolah SMP, kejadiannya tuh udh bertahun-tahun lamanya, gedung sekolah itu tuh emng udh banyak penunggunya, setiap hari kesurupan massal, berawal dari cuma kelas 3 lantai 2 (kelas Abang aku) tuh yang kesurupan massal smpe di pulangin, tapi cuma beberapa orang besoknya lagi kelas 2 tuh bener bener semua yang kelas 2 tapi cuma perempuannya doang, itu tuh bener bener hampir setiap hari, sekolahnya juga udah sering bngt di baca bacain gitu, di kasi apalah supaya gak kejadian kek gini lagi malah tambah parah, smpe siswi yng sering kesurupan tuh gak di izinin sekolah dlu, tapi sekarang udah gak lagi, soalnya aku sekolah di situ, kejadiannya rill soalnya aku salah satu saksi sepupu aku kesurupan di gendong dari sekolah kerumah",0
2024-08-26T08:07:28Z,@nanauk56,Saya juga sering tuh lift kadang- kadang berhenti di lantai yg tidak di tujuh <br>Misalnya saya lantai nya 6 kadang - kadang naik ke atas dan tiba-tiba terbuka tapi gk ada siapa-siapa,0
2024-08-26T05:55:34Z,@norvila2559,"Kalo menurut aku sih kalo ada yg kesurupan masal paati setan atau jin nya juga banyak kenapa?,karena dlu waktu aku masih sekolah sd dan kejadian nya di sekolah man/sma dan lokasinya tepat di sebelah rumah aku,dulu pernah ada kesurupan masal di sekolah itu,wakru itu aku liat sendiri para korban itu jatuhnya di tempat tempat yang berbeda seperti di musholla,di uks,di perpus bahkan di ruang kepala sekolah dan org pintar (tuan guru) kalo di kita nama nya itu bilang yang ngerasukin cewe yg di musholla itu ada pangeran nya,terus yang di ruang kepala sekolah adalah raja nya (klo gk salah),dan sering bgt kejadian yg kesurupan serupa",0
2024-08-25T13:52:30Z,@hidayatusyifa5552,"Nextnya sama Maxwell kaa, pengalaman² horor jd dokter koas please please please wkwkwk",1
2024-08-25T12:09:03Z,@HariYanto-br2ow,Coba kapan&quot; ke banyuwangi kak terus liat disana yg ad acara&quot; gitu kalo kata orang sana jaranan di sana biasanya banyak yg kesurupan kurang-lebih kek kesurupan masal dan biasanya yg kesurupan itu di kasih makan kembang 7 rupa gitu sama dukun yg bertanggung jawab atas acara itu agak serem tapi seru,0
2024-08-25T06:22:27Z,@124_fahrizadwiutami5,"kaget bgt tiba tiba ada sandy, bener bener sandy is everywhere😭😭",0
2024-08-25T04:08:38Z,@hidayatinurlela8688,"Ya y, perasaan di Indonesia aja yg bnyk hantunya",0
2024-08-24T08:19:07Z,@Rans.Stevee,"ggb, ganteng ganteng bowtiew😂",1
2024-08-24T05:04:40Z,@annidashalihah5426,aku pernah liat tetangga ku kesurupan,1
2024-08-24T02:54:57Z,@SDPutra157,"kurang menarik kalo di bacain orang lain, kecuali narasumber.",0
